News Agency,relevance,hours since published,publish date,title,url
abc.net.au,0,0,"Fri, 19 Feb 2021 09:24:28 +1100",Zuckerberg and Frydenberg to speak as Facebook news stand-off continues,https://www.abc.net.au/news/2021-02-19/frydenberg-zuckerberg-meeting-news-media-facebook-ban/13171120
abc.net.au,0,0,"Fri, 19 Feb 2021 08:34:16 +1100",SA government forced into minority after MP charged in ICAC probe,https://www.abc.net.au/news/2021-02-19/liberal-fraser-ellis-charged-by-icac-over-country-mps-allowance/13170844
abc.net.au,0,0,"Fri, 19 Feb 2021 08:32:33 +1100",Yvonne’s father died from a wound on his foot. But she says it was a 'culture of neglect' that really killed him,https://www.abc.net.au/news/2021-02-19/concerns-remain-over-regis-nedlands-aged-care-home/13168320
abc.net.au,0,0,"Fri, 19 Feb 2021 08:31:13 +1100",Are smart cars breeding complacent drivers? This instructor thinks so,https://www.abc.net.au/news/2021-02-19/smart-cars-breeding-complacent-drivers/13164182
abc.net.au,0,0,"Fri, 19 Feb 2021 08:28:46 +1100",Mystery police caller urged to provide more information on missing Melbourne woman,https://www.abc.net.au/news/2021-02-19/victoria-police-seek-mystery-caller-in-missing-woman-case/13170966
abc.net.au,0,0,"Fri, 19 Feb 2021 08:28:46 +1100",Sunnybank siege continues as police negotiate with armed man for more than 20 hours,https://www.abc.net.au/news/2021-02-19/sunnybank-siege-police-negotiation-armed-man/13170916
abc.net.au,0,0,"Fri, 19 Feb 2021 08:28:46 +1100",Glenn Maxwell and Aussie quicks hit IPL jackpot,https://www.abc.net.au/news/2021-02-19/glenn-maxwell-and-aussie-quicks-hit-jackpot-in-ipl-auction/13170970
abc.net.au,0,0,"Fri, 19 Feb 2021 08:00:27 +1100",'My first look at my forever home': NASA's Perseverance rover lands on Mars,https://www.abc.net.au/news/2021-02-19/nasa-rover-perseverance-lands-on-mars/13170902
abc.net.au,0,1,"Fri, 19 Feb 2021 07:43:12 +1100","ASX to slip, Wall Street pulls back slightly from 'irrational exuberance'",https://www.abc.net.au/news/2021-02-19/asx-stocks-wall-street-markets-record-highs/13170882
abc.net.au,0,1,"Fri, 19 Feb 2021 07:34:04 +1100",'Wanting to be a good dad': Ted Cruz heads to Cancun amid Texas emergency,https://www.abc.net.au/news/2021-02-19/ted-cruz-goes-on-mexico-holiday-as-storm-hits-texas/13170834
abc.net.au,0,1,"Fri, 19 Feb 2021 07:29:01 +1100",These delivery riders protested over their pay. Hours later they were sacked,https://www.abc.net.au/news/2021-02-19/sydney-hungry-panda-riders-battle-dismissal/13169176
abc.net.au,0,1,"Fri, 19 Feb 2021 07:07:56 +1100","Senior British MP, media outlets condemn 'bully' Facebook over Australia move",https://www.abc.net.au/news/2021-02-19/uk-slams-facebook-move-to-block-all-media-content-in-australia/13170786
abc.net.au,0,1,"Fri, 19 Feb 2021 07:00:00 +1100",Why we can't pick and choose which stranded Australians are more deserving of their rights as citizens,https://www.abc.net.au/news/2021-02-19/covid-stranded-australians-overseas-deserve-citizenship-rights/13162214
abc.net.au,0,2,"Fri, 19 Feb 2021 06:48:11 +1100",'It's given us a purpose': Hannah Clarke's parents welcome move to criminalise coercive control in Queensland,https://www.abc.net.au/news/2021-02-19/qld-hannah-clarke-first-anniversary-coercive-control-parents/13168090
abc.net.au,0,2,"Fri, 19 Feb 2021 06:48:11 +1100","They were ordered to defend 'until the very end', but the enemy never came",https://www.abc.net.au/news/2021-02-19/wwii-bombing-of-darwin-aftermath-16-mile-camp-defence-memories/13164888
abc.net.au,0,2,"Fri, 19 Feb 2021 06:42:42 +1100",Morrison knew he was walking on eggshells but then he smashed the whole carton,https://www.abc.net.au/news/2021-02-19/pm-dealt-poorly-with-brittany-higgins-shocking-story/13169856
abc.net.au,0,2,"Fri, 19 Feb 2021 06:41:35 +1100","Restrictions are easing again in the ACT, but it comes with a new rule",https://www.abc.net.au/news/2021-02-19/covid-19-canberra-check-in-app-for-businesses-mandatory/13168914
abc.net.au,0,2,"Fri, 19 Feb 2021 06:19:11 +1100",Push for national definition of domestic violence to help victims and support networks,https://www.abc.net.au/news/2021-02-19/national-definition-domestic-family-violence-coercive-control/13169526
abc.net.au,0,2,"Fri, 19 Feb 2021 06:17:42 +1100",Bobô's back — Brazilian striker returns to action for Sydney FC this weekend,https://www.abc.net.au/news/2021-02-19/bobos-back-brazilian-striker-to-return-fc-sydney-this-weekend/13169746
abc.net.au,0,2,"Fri, 19 Feb 2021 06:14:56 +1100",'A slap in the face': Facebook ban on Australian news could have serious effects in the Pacific,https://www.abc.net.au/news/2021-02-19/pacific-media-warns-facebook-ban-on-australian-news-serious/13167232
abc.net.au,0,2,"Fri, 19 Feb 2021 06:13:43 +1100",How Len Pascoe turned Australia's pioneering Indigenous cricket team into a song,https://www.abc.net.au/news/2021-02-19/len-pascoe-turned-pioneering-indigenous-cricket-team-into-song/13166612
abc.net.au,0,2,"Fri, 19 Feb 2021 06:10:41 +1100",Planned burns are supposed to protect life. But they are destroying fragile ecosystems,https://www.abc.net.au/news/2021-02-19/prescribed-burning-under-scrutiny-in-wa-south-west-wilderness/13110150
abc.net.au,0,2,"Fri, 19 Feb 2021 06:08:35 +1100",How Facebook's news ban could backfire badly on the social media giant,https://www.abc.net.au/news/2021-02-19/facebook-news-ban-could-backfire-advertisers-communities/13169930
abc.net.au,0,2,"Fri, 19 Feb 2021 06:00:00 +1100",Pfizer is using Israel as a real-world vaccine trial. Here's what it shows so far,https://www.abc.net.au/news/health/2021-02-19/covid-19-pfizer-biontech-vaccine-viral-load-drops-first-dose/13156116
abc.net.au,0,3,"Fri, 19 Feb 2021 05:42:20 +1100",'Typically grim and gloomy affair': Dark Mofo ready for comeback,https://www.abc.net.au/news/2021-02-19/monas-dark-mofo-winter-festival-returns-for-2021/13169474
abc.net.au,0,3,"Fri, 19 Feb 2021 05:38:37 +1100",A small film about an immigrant family building a new life in rural America is generating big buzz,https://www.abc.net.au/news/2021-02-19/minari-lee-isaac-chung-interview-korean-american-immigrants/13156214
abc.net.au,0,3,"Fri, 19 Feb 2021 05:03:46 +1100","Wendy waved goodbye to her dad before bombs dropped on Darwin, years later she learned her father's fate",https://www.abc.net.au/news/2021-02-19/wendy-james-bombing-of-darwin-commemoration-79-anniversary/13168332
abc.net.au,1,3,"Fri, 19 Feb 2021 04:58:28 +1100",Doctors battling fear and misinformation among patients as vaccine rolls into Western Sydney,https://www.abc.net.au/news/2021-02-19/nsw-covid19-western-sydney-patients-lack-information-on-vaccine/13169482
abc.net.au,0,6,"Fri, 19 Feb 2021 02:57:44 +1100",Why has Hong Kong's population shown the biggest decline in a decade?,https://www.abc.net.au/news/2021-02-19/hong-kong-residents-stay-australia-china-national-security-law/13169764
abc.net.au,0,9,"Thu, 18 Feb 2021 23:35:30 +1100",'Beginning of the end for Facebook': Q+A tackles the platform's Australian news ban,https://www.abc.net.au/news/2021-02-18/q-and-a-facebook-news-ban-michelle-rowlands-beginning-of-the-end/13170044
abc.net.au,0,10,"Thu, 18 Feb 2021 22:04:37 +1100",Linda Reynolds brought to tears when questioned about Brittany Higgins allegations,https://www.abc.net.au/news/2021-02-18/linda-reynolds-breaks-down-senate-brittany-higgins-alleged-rape/13170136
abc.net.au,0,11,"Thu, 18 Feb 2021 21:22:32 +1100",Hong Kong court again denies bail for Beijing critic and tycoon Jimmy Lai,https://www.abc.net.au/news/2021-02-18/hong-kong-tycoon-jimmy-lai-denied-another-bid-for-bail/13170078
abc.net.au,0,13,"Thu, 18 Feb 2021 19:51:23 +1100",Adelaide Fringe 'pivots' to welcome performers and punters back after a grim year for the arts,https://www.abc.net.au/news/2021-02-18/adelaide-fringe-2021-to-kick-off-despite-covid-19/13165396
abc.net.au,0,13,"Thu, 18 Feb 2021 19:21:59 +1100",White swan turned black after being 'contaminated',https://www.abc.net.au/news/2021-02-18/white-swan-turned-black-after-being-contaminated/13169396
abc.net.au,0,14,"Thu, 18 Feb 2021 18:37:06 +1100",Facebook unrepentant as Prime Minister dubs emergency services block 'arrogant',https://www.abc.net.au/news/2021-02-18/facebook-unrepentant-scott-morrison-dubs-move-arrogant/13169340
abc.net.au,0,14,"Thu, 18 Feb 2021 18:34:42 +1100","'Magic man' told alleged victim 'seed' would repel her stalker, court hears",https://www.abc.net.au/news/2021-02-18/wa-rape-trial-hears-accused-offered-protection-from-stalker/13168038
